PUT /api/workouts/unfavorite/65a67e3405d0ecf00a52979c status 200, 11.162 ms Tue, 16 Jan 2024 13:14:05 GMT
PUT /api/workouts/favorite/65a67e3405d0ecf00a52979c status 200, 13.036 ms Tue, 16 Jan 2024 13:14:06 GMT
PUT /api/workouts/unfavorite/65a67e3405d0ecf00a52979c status 200, 10.739 ms Tue, 16 Jan 2024 13:14:07 GMT
PUT /api/workouts/favorite/65a67e3405d0ecf00a52979c status 200, 13.011 ms Tue, 16 Jan 2024 13:14:07 GMT
PUT /api/workouts/unfavorite/65a67e3405d0ecf00a52979c status 200, 11.737 ms Tue, 16 Jan 2024 13:14:08 GMT
PUT /api/workouts/favorite/65a67e3405d0ecf00a52979c status 200, 12.739 ms Tue, 16 Jan 2024 13:14:08 GMT
PUT /api/workouts/favorite/65a54e07f9a8eebed5145d6e status 200, 12.374 ms Tue, 16 Jan 2024 13:14:13 GMT
PUT /api/workouts/unfavorite/65a54e07f9a8eebed5145d6e status 200, 9.617 ms Tue, 16 Jan 2024 13:14:13 GMT
POST /api/user/authenticate status 200, 7.996 ms Tue, 16 Jan 2024 13:14:22 GMT
GET /api/workouts/workout/65a67d6f6e5734c19c1577fc status 200, 10.003 ms Tue, 16 Jan 2024 13:14:22 GMT
GET /api/workouts/workout/65a67d6f6e5734c19c1577fc status 304, 5.796 ms Tue, 16 Jan 2024 13:14:22 GMT
PUT /api/workouts/myworkouts/65a67d6f6e5734c19c1577fc status 200, 14.899 ms Tue, 16 Jan 2024 13:14:24 GMT
POST /api/user/authenticate status 200, 7.566 ms Tue, 16 Jan 2024 13:14:25 GMT
GET /api/workouts/myworkouts status 200, 12.337 ms Tue, 16 Jan 2024 13:14:25 GMT
GET /api/workouts/myworkouts status 304, 9.704 ms Tue, 16 Jan 2024 13:14:25 GMT
POST /api/user/authenticate status 200, 5.248 ms Tue, 16 Jan 2024 13:19:11 GMT
POST /api/workouts/myworkouts/create/new status 201, 22.987 ms Tue, 16 Jan 2024 13:19:17 GMT
POST /api/user/authenticate status 200, 7.147 ms Tue, 16 Jan 2024 13:19:17 GMT
GET /api/workouts/myworkouts status 200, 11.268 ms Tue, 16 Jan 2024 13:19:17 GMT
GET /api/workouts/myworkouts status 304, 7.716 ms Tue, 16 Jan 2024 13:19:17 GMT
POST /api/user/authenticate status 200, 8.000 ms Tue, 16 Jan 2024 13:28:42 GMT
POST /api/user/authenticate status 200, 6.779 ms Tue, 16 Jan 2024 13:28:42 GMT
GET /api/workouts/myworkouts status 200, 7.521 ms Tue, 16 Jan 2024 13:28:42 GMT
GET /api/workouts/myworkouts status 304, 8.680 ms Tue, 16 Jan 2024 13:28:42 GMT
POST /api/user/authenticate status 200, 4.713 ms Tue, 16 Jan 2024 13:29:45 GMT
POST /api/user/authenticate status 200, 4.802 ms Tue, 16 Jan 2024 13:29:45 GMT
GET /api/workouts/myworkouts status 200, 7.321 ms Tue, 16 Jan 2024 13:29:45 GMT
GET /api/workouts/myworkouts status 304, 9.821 ms Tue, 16 Jan 2024 13:29:45 GMT
POST /api/user/authenticate status 200, 5.034 ms Tue, 16 Jan 2024 13:51:44 GMT
POST /api/user/authenticate status 200, 4.037 ms Tue, 16 Jan 2024 13:51:44 GMT
GET /api/workouts/myworkouts status 304, 7.879 ms Tue, 16 Jan 2024 13:51:44 GMT
GET /api/workouts/myworkouts status 304, 8.636 ms Tue, 16 Jan 2024 13:51:44 GMT
DELETE /api/workouts/myworkouts/65a6825505d0ecf00a5297f4 status 200, 14.695 ms Tue, 16 Jan 2024 13:53:18 GMT
DELETE /api/workouts/myworkouts/65a67e3405d0ecf00a52979c status 200, 11.746 ms Tue, 16 Jan 2024 13:53:20 GMT
DELETE /api/workouts/myworkouts/65a67d6f6e5734c19c1577fc status 200, 25.929 ms Tue, 16 Jan 2024 13:53:22 GMT
POST /api/user/authenticate status 200, 5.296 ms Tue, 16 Jan 2024 13:55:21 GMT
POST /api/user/authenticate status 200, 4.431 ms Tue, 16 Jan 2024 13:55:21 GMT
GET /api/workouts/myworkouts status 200, 6.440 ms Tue, 16 Jan 2024 13:55:21 GMT
GET /api/workouts/myworkouts status 304, 8.716 ms Tue, 16 Jan 2024 13:55:22 GMT
POST /api/user/authenticate status 200, 14.435 ms Tue, 16 Jan 2024 13:56:31 GMT
GET /api/workouts/workout/65a3b79cb8b419eb9fb4bd84 status 200, 11.618 ms Tue, 16 Jan 2024 13:56:31 GMT
GET /api/workouts/workout/65a3b79cb8b419eb9fb4bd84 status 304, 3.788 ms Tue, 16 Jan 2024 13:56:31 GMT
POST /api/user/authenticate status 200, 3.624 ms Tue, 16 Jan 2024 13:56:36 GMT
GET /api/workouts/myworkouts status 304, 6.889 ms Tue, 16 Jan 2024 13:56:36 GMT
GET /api/workouts/myworkouts status 304, 8.165 ms Tue, 16 Jan 2024 13:56:36 GMT
POST /api/user/authenticate status 200, 4.571 ms Tue, 16 Jan 2024 13:56:54 GMT
GET /api/workouts/workout/65a3b79cb8b419eb9fb4bd84 status 304, 6.411 ms Tue, 16 Jan 2024 13:56:54 GMT
GET /api/workouts/workout/65a3b79cb8b419eb9fb4bd84 status 304, 4.864 ms Tue, 16 Jan 2024 13:56:54 GMT
GET /api/workouts/workout/65a3b79cb8b419eb9fb4bd84 status 304, 6.281 ms Tue, 16 Jan 2024 13:57:05 GMT
POST /api/user/authenticate status 200, 5.740 ms Tue, 16 Jan 2024 13:57:07 GMT
GET /api/workouts/myworkouts status 304, 12.158 ms Tue, 16 Jan 2024 13:57:07 GMT
GET /api/workouts/myworkouts status 304, 9.124 ms Tue, 16 Jan 2024 13:57:07 GMT
POST /api/user/authenticate status 200, 4.923 ms Tue, 16 Jan 2024 13:57:07 GMT
POST /api/workouts/myworkouts/create/new status 201, 15.885 ms Tue, 16 Jan 2024 13:57:11 GMT
POST /api/user/authenticate status 200, 3.316 ms Tue, 16 Jan 2024 13:57:11 GMT
GET /api/workouts/myworkouts status 200, 6.909 ms Tue, 16 Jan 2024 13:57:11 GMT
GET /api/workouts/myworkouts status 304, 7.462 ms Tue, 16 Jan 2024 13:57:11 GMT
